loan_id,user_id,total_loan,year_of_loan,interest,monthly_payment,class,sub_class,work_type,employer_type,industry,work_year,house_exist,house_loan_status,censor_status,marriage,offsprings,issue_date,use,post_code,region,debt_loan_ratio,del_in_18month,scoring_low,scoring_high,pub_dero_bankrup,early_return,early_return_amount,early_return_amount_3mon,recircle_b,recircle_u,initial_list_status,earlies_credit_mon,title,policy_code,f0,f1,f2,f3,f4,f5,is_default
119262,0,12000.0,5,11.53,264.1,B,B5,职员,普通企业,采矿业,,0,0,2,0,0,2015-06-01,0,814.0,4,5.07,1.0,670.0,674.0,1.0,0,0,0.0,3855.0,23.1,0.0,Mar-1984,0.0,1.0,1.0,0.0,8.0,17.0,8.0,1.0,1.0
369815,1,8000.0,3,13.98,273.35,C,C3,其他,普通企业,国际组织,10+ years,0,1,2,1,3,2010-10-01,2,240.0,21,15.04,0.0,725.0,729.0,0.0,0,0,0.0,118632.0,99.9,1.0,Jan-1992,94.0,1.0,,,,,,,0.0
787833,2,20000.0,5,17.99,507.76,D,D2,工人,上市企业,信息传输、软件和信息技术服务业,10+ years,0,0,1,0,0,2016-08-01,0,164.0,20,17.38,1.0,675.0,679.0,0.0,0,0,0.0,15670.0,72.5,0.0,Oct-1996,0.0,1.0,6.0,0.0,10.0,8.0,3.0,0.0,0.0
671675,3,10700.0,3,10.16,346.07,B,B1,职员,普通企业,电力、热力生产供应业,2 years,2,0,2,0,0,2013-05-01,4,48.0,10,27.87,0.0,710.0,714.0,0.0,0,0,0.0,18859.0,78.6,0.0,Jul-2000,41646.0,1.0,3.0,0.0,4.0,11.0,6.0,0.0,0.0
245160,4,8000.0,3,8.24,251.58,B,B1,其他,政府机构,金融业,5 years,1,2,0,0,0,2017-04-01,4,122.0,9,3.47,0.0,660.0,664.0,0.0,0,0,0.0,8337.0,67.8,1.0,Mar-2000,4.0,1.0,3.0,0.0,8.0,6.0,4.0,1.0,0.0
647107,5,28000.0,3,15.59,978.74,C,C5,职员,幼教与中小学校,公共服务、社会组织,10+ years,2,0,2,0,0,2016-08-01,0,149.0,22,24.33,0.0,680.0,684.0,0.0,0,0,0.0,40727.0,88.6,0.0,May-2002,0.0,1.0,3.0,0.0,6.0,10.0,3.0,1.0,1.0
289151,6,6000.0,3,7.89,187.72,A,A5,职员,政府机构,信息传输、软件和信息技术服务业,8 years,0,1,0,0,0,2015-07-01,0,634.0,32,8.43,0.0,710.0,714.0,0.0,0,0,0.0,724.0,14.2,1.0,Aug-2000,0.0,1.0,3.0,0.0,13.0,5.0,5.0,1.0,0.0
750155,7,20000.0,3,12.79,671.86,C,C1,工程师,上市企业,金融业,10+ years,0,0,2,0,0,2016-07-01,0,197.0,4,19.48,0.0,690.0,694.0,0.0,0,0,0.0,16694.0,71.6,0.0,Oct-2005,0.0,1.0,8.0,0.0,3.0,12.0,8.0,0.0,0.0
387697,8,9450.0,3,13.11,318.91,B,B4,工人,政府机构,信息传输、软件和信息技术服务业,2 years,0,0,0,1,0,2012-08-01,4,19.0,14,18.64,0.0,705.0,709.0,0.0,0,0,0.0,14291.0,66.5,1.0,Apr-2001,847.0,1.0,,,,,,,0.0
186940,9,4500.0,3,5.32,135.52,A,A1,其他,高等教育机构,文化和体育业,10+ years,0,0,0,1,0,2017-02-01,9,468.0,0,7.4,0.0,805.0,809.0,0.0,0,0,0.0,1623.0,10.5,0.0,Sep-1992,10.0,1.0,2.0,0.0,9.0,8.0,2.0,0.0,0.0
740415,10,21850.0,3,11.44,719.91,B,B4,职员,世界五百强,建筑业,10+ years,0,0,2,1,3,2016-11-01,0,466.0,36,27.67,0.0,725.0,729.0,0.0,14,840,183.73377634804947,501094.0,53.2,0.0,Feb-1986,0.0,1.0,3.0,0.0,14.0,6.0,2.0,0.0,0.0
